Volume of Titrant (mL),pH Value
0.0,13.81954393554187
0.1507537688442211,13.809759666057724
0.3015075376884422,13.80004614584259
0.4522613065326633,13.790400206240834
0.6030150753768844,13.78081878925195
0.7537688442211055,13.771298940497319
0.9045226130653266,13.761837802646168
1.0552763819095476,13.752432609261474
1.2060301507537687,13.743080679030207
1.3567839195979898,13.733779410345532
1.507537688442211,13.724526276211517
1.658291457286432,13.715318819443462
1.809045226130653,13.706154648139318
1.9597989949748742,13.697031431399695
2.1105527638190953,13.687946895275894
2.2613065326633164,13.678898818926982
2.4120603015075375,13.669885030968498
2.5628140703517586,13.660903405996724
2.7135678391959797,13.6519518612736
2.8643216080402008,13.643028353558536
3.015075376884422,13.634130876074291
3.165829145728643,13.625257455594987
3.316582914572864,13.616406149645115
3.467336683417085,13.607575043799073
3.618090452261306,13.59876224907142
3.7688442211055273,13.589965899388602
3.9195979899497484,13.581184149133344
4.0703517587939695,13.57241517075342
4.221105527638191,13.563657152426812
4.371859296482412,13.554908295775682
4.522613065326633,13.546166813621785
4.673366834170854,13.537430927776255
4.824120603015075,13.528698866856875
4.974874371859296,13.519968864126062
5.125628140703517,13.511239155342983
5.276381909547738,13.502507976623244
5.427135678391959,13.493773562299657
5.57788944723618,13.485034142777607
5.7286432160804015,13.476287942378477
5.879396984924623,13.467533177164563
6.030150753768844,13.458768052738783
6.180904522613065,13.44999076201232
6.331658291457286,13.441199482933213
6.482412060301507,13.432392376168616
6.633165829145728,13.423567582733236
6.783919597989949,13.41472322155608
6.93467336683417,13.405857386977367
7.085427135678391,13.396968146166927
7.236180904522612,13.388053536455056
7.3869346733668335,13.379111562566148
7.537688442211055,13.370140193744923
7.688442211055276,13.361137360764289
7.839195979899497,13.352100952803225
7.989949748743718,13.343028814182151
8.140703517587939,13.333918740942336
8.29145728643216,13.324768477254851
8.442211055276381,13.31557571164339
8.592964824120603,13.306338073004015
8.743718592964823,13.297053126403362
8.894472361809044,13.287718368635337
9.045226130653266,13.27833122351442
9.195979899497488,13.268889036881784
9.346733668341708,13.259389071298138
9.497487437185928,13.249828500394734
9.64824120603015,13.240204402851175
9.798994974874372,13.230513755965527
9.949748743718592,13.220753428778753
10.100502512562812,13.210920174711518
10.251256281407034,13.201010623667004
10.402010050251256,13.19102127354842
10.552763819095476,13.180948481134227
10.703517587939697,13.170788452247766
10.854271356783919,13.16053723115087
11.00502512562814,13.150190689082745
11.15577889447236,13.13974451185637
11.306532663316581,13.129194186413951
11.457286432160803,13.118534986231138
11.608040201005025,13.107761955445884
11.758793969849245,13.09686989157222
11.909547738693465,13.085853326641152
12.060301507537687,13.07470650659019
12.21105527638191,13.063423368699087
12.36180904522613,13.051997516841729
12.51256281407035,13.040422194292018
12.663316582914572,13.028690253784363
12.814070351758794,13.016794124485845
12.964824120603014,13.004725775486275
13.115577889447234,12.992476675352721
13.266331658291456,12.980037747224742
13.417085427135678,12.967399318843652
13.567839195979898,12.954551066810673
13.718592964824118,12.941481954251856
13.86934673366834,12.92818016092777
14.020100502512562,12.914633004658299
14.170854271356783,12.900826852730974
14.321608040201003,12.886747021716895
14.472361809045225,12.872377663821478
14.623115577889447,12.857701637534584
14.773869346733667,12.842700359899439
14.924623115577887,12.827353637170333
15.07537688442211,12.811639469946993
15.226130653266331,12.795533828021716
15.376884422110551,12.779010389104782
15.527638190954772,12.762040234238881
15.678391959798994,12.744591490986743
15.829145728643216,12.726628913258686
15.979899497487436,12.708113383775888
16.130653266331656,12.68900132141557
16.281407035175878,12.66924397074159
16.4321608040201,12.648786544443224
16.58291457286432,12.627567180548938
16.73366834170854,12.605515664225695
16.884422110552762,12.582551847354914
17.035175879396984,12.558583675853642
17.185929648241206,12.533504701777519
17.336683417085425,12.507190909780498
17.487437185929647,12.479496617880477
17.63819095477387,12.450249108319362
17.788944723618087,12.419241485059377
17.93969849246231,12.386223005015566
18.09045226130653,12.350885728608276
18.241206030150753,12.312845668659103
18.391959798994975,12.271615470378356
18.542713567839193,12.226563602065825
18.693467336683415,12.176851179602858
18.844221105527637,12.12132988349751
18.994974874371856,12.058368122386138
19.145728643216078,11.985534867693227
19.2964824120603,11.898973420797114
19.44723618090452,11.792009009018024
19.597989949748744,11.651488632082732
19.748743718592962,11.445162237490992
19.899497487437184,11.04502696981334
20.050251256281406,3.2581872441105357
20.201005025125625,2.658300540796902
20.351758793969847,2.4174249587289935
20.50251256281407,2.2646747511973713
20.65326633165829,2.1528725428260445
20.804020100502512,2.064826551984604
20.95477386934673,1.9923131713337117
21.105527638190953,1.9307540283200253
21.256281407035175,1.8773364361408942
21.407035175879393,1.8302080461239703
21.557788944723615,1.7880840100250366
21.708542713567837,1.7500365023239925
21.85929648241206,1.7153735939368508
22.01005025125628,1.6835655011295003
22.1608040201005,1.6541975785264138
22.31155778894472,1.626939201364761
22.462311557788944,1.6015224980886835
22.613065326633162,1.577727413287683
22.763819095477384,1.5553709663597897
22.914572864321606,1.5342993665509588
23.065326633165828,1.514382118725301
23.21608040201005,1.4955075456238658
23.36683417085427,1.4775793367893042
23.51758793969849,1.4605138540244051
23.668341708542712,1.4442380027024833
23.81909547738693,1.4286875320652985
23.969849246231153,1.4138056647733077
24.120603015075375,1.399541982018898
24.271356783919597,1.3858515090642989
24.42211055276382,1.3726939594643697
24.572864321608037,1.3600331060365307
24.72361809045226,1.3478362538966127
24.87437185929648,1.3360737963107228
25.0251256281407,1.3247188382201227
25.17587939698492,1.3137468754311976
25.326633165829143,1.3031355198771664
25.477386934673365,1.2928642632332927
